N     Total_reward  Satisfied_customers  Customers_without_deliveries  Total_time  Total_satisfaction  Wharehouse_visits  Trips
150    836.040115                 13.0                           2.0  732.400000            0.880038               18.0   42.0
151    878.746345                 13.0                           1.0  723.333333            0.929051               18.0   38.0
152    888.399969                 12.0                           1.0  731.416667            0.932139               18.0   43.0
153    882.544725                 13.0                           1.0  739.333333            0.924618               18.0   38.0
154    806.710329                 14.0                           3.0  727.383333            0.838318               10.0   93.0
155    882.857416                  9.0                           1.0  721.333333            0.927342               18.0   38.0
156    899.128976                 17.0                           1.0  733.200000            0.946565               14.0   86.0
157    882.435605                 12.0                           1.0  748.333333            0.937739               19.0   39.0
158    875.676028                 10.0                           1.0  725.333333            0.908484               18.0   38.0
159    872.763994                  8.0                           1.0  734.333333            0.904405               18.0   38.0
160    753.110840                 12.0                           4.0  733.383333            0.792070               18.0   41.0
161    780.494354                 14.0                           3.0  724.383333            0.813670               11.0   94.0
162    802.318379                 14.0                           3.0  744.450000            0.839038               12.0   99.0
163    861.885466                  9.0                           1.0  730.333333            0.898961               18.0   38.0
164    830.871565                 16.0                           2.0  723.166667            0.878758               11.0   81.0
165    878.457532                 11.0                           1.0  736.333333            0.924272               18.0   38.0
166    868.385903                  7.0                           1.0  723.333333            0.902579               18.0   38.0
167    795.732298                 14.0                           3.0  731.383333            0.839731               11.0   94.0
168    836.179719                 13.0                           2.0  739.383333            0.884913               18.0   41.0
169    824.327019                 11.0                           2.0  724.383333            0.862559               18.0   41.0
170    865.331195                 11.0                           1.0  722.333333            0.925243               18.0   38.0
171    881.869659                 14.0                           1.0  753.333333            0.939604               18.0   38.0
172    755.333676                 15.0                           4.0  723.233333            0.802124               11.0   85.0
173    849.819834                 17.0                           2.0  723.150000            0.896750               13.0   82.0
174    900.496438                 17.0                           1.0  731.100000            0.939906               12.0   78.0
175    710.056120                 13.0                           5.0  721.583333            0.743614               11.0  106.0
176    787.802088                 13.0                           3.0  723.366667            0.837598               18.0   40.0
177    829.263681                 12.0                           2.0  726.400000            0.873552               17.0   41.0
178    750.806261                 14.0                           4.0  721.366667            0.799220               11.0   93.0
179    829.975568                 15.0                           2.0  723.233333            0.876089               11.0   85.0
180    756.752397                 13.0                           4.0  725.600000            0.787054               12.0  108.0
181    696.464871                 14.0                           5.0  721.400000            0.733591               11.0   95.0
182    836.584471                 13.0                           2.0  732.400000            0.882805               18.0   42.0
183    839.307647                 11.0                           2.0  728.400000            0.878585               18.0   42.0
184    710.849106                 13.0                           5.0  727.466667            0.743022               11.0   99.0
185    872.125473                 10.0                           1.0  746.333333            0.918173               19.0   39.0
186    887.165913                 14.0                           1.0  735.416667            0.933397               18.0   43.0
187    700.609115                 14.0                           5.0  722.650000            0.741779               13.0  112.0
188    884.980692                 11.0                           1.0  735.333333            0.924402               18.0   38.0
189    884.984134                 12.0                           1.0  741.433333            0.925216               18.0   44.0
190    925.554075                 13.0                           0.0  732.433333            0.979206               17.0   43.0
191    867.356547                 12.0                           1.0  727.333333            0.919884               18.0   38.0
192    874.778724                 15.0                           1.0  735.333333            0.936275               18.0   38.0
193    746.664934                 10.0                           4.0  751.383333            0.775549               19.0   42.0
194    807.703283                 14.0                           3.0  722.533333            0.836190               11.0  103.0
195    876.888342                 13.0                           1.0  755.416667            0.917293               18.0   43.0
196    868.936578                 10.0                           1.0  724.333333            0.918348               18.0   38.0
197    876.599383                 10.0                           1.0  731.333333            0.920952               18.0   38.0
198    874.077887                 11.0                           1.0  724.333333            0.930968               18.0   38.0
199    756.020468                 15.0                           4.0  721.316667            0.782403               11.0   90.0
200    891.472750                 14.0                           1.0  745.416667            0.944981               18.0   43.0
201    771.846829                 16.0                           3.0  736.116667            0.817574               11.0   78.0
202    860.228988                 13.0                           1.0  742.333333            0.920039               19.0   39.0
203    877.743082                  7.0                           1.0  739.333333            0.912584               18.0   38.0
204    810.911804                 15.0                           2.0  727.366667            0.848691               12.0   94.0
205    871.531749                 11.0                           1.0  726.333333            0.917154               18.0   38.0
206    855.239700                 13.0                           2.0  727.500000            0.887297               11.0  101.0
207    792.397637                 12.0                           3.0  735.383333            0.829198               18.0   41.0
208    843.762829                 14.0                           2.0  723.300000            0.889635               10.0   88.0
209    810.613677                 15.0                           3.0  749.350000            0.845933               12.0   93.0
210    868.050648                  8.0                           1.0  724.333333            0.901794               18.0   38.0
211    873.633572                 14.0                           1.0  724.333333            0.929254               18.0   38.0
212    837.969217                 13.0                           2.0  725.400000            0.886990               17.0   41.0
213    854.128388                 12.0                           1.0  746.333333            0.898951               18.0   38.0
214    868.727970                  9.0                           1.0  728.333333            0.918348               18.0   38.0
215    840.713980                 13.0                           2.0  732.416667            0.892250               18.0   43.0
216    896.279278                 17.0                           1.0  728.066667            0.945894               10.0   74.0
217    760.132243                 14.0                           4.0  721.383333            0.797468               11.0   94.0
218    863.179187                  9.0                           1.0  733.333333            0.902922               18.0   38.0
219    876.616199                 12.0                           1.0  740.333333            0.923664               18.0   38.0
220    934.905084                 10.0                           0.0  726.450000            0.977863               17.0   44.0
221    876.011791                 12.0                           1.0  752.333333            0.922414               18.0   38.0
222    796.894578                 12.0                           3.0  720.566667            0.839167               10.0  104.0
223    803.502008                 15.0                           3.0  722.300000            0.844380               11.0   89.0
224    784.898178                 14.0                           3.0  733.400000            0.830959               18.0   42.0
225    855.249035                 16.0                           2.0  735.216667            0.888152               12.0   85.0
226    879.924404                 12.0                           1.0  732.333333            0.928988               18.0   38.0
227    869.144880                 13.0                           1.0  740.333333            0.923151               18.0   38.0
228    840.506893                 13.0                           2.0  735.400000            0.880374               18.0   42.0
229    875.845097                 12.0                           1.0  737.333333            0.918173               18.0   38.0
230    786.651106                 11.0                           3.0  720.366667            0.816365               18.0   40.0
231    866.326738                 11.0                           1.0  733.333333            0.916427               18.0   38.0
232    794.063127                 17.0                           3.0  721.033333            0.846154               12.0   74.0
233    797.472275                 10.0                           3.0  724.400000            0.828244               18.0   42.0
234    865.653833                 12.0                           1.0  751.333333            0.923524               18.0   38.0
235    815.317178                 14.0                           3.0  721.400000            0.848748               11.0   95.0
236    792.357530                 15.0                           3.0  726.450000            0.842459               12.0   99.0
237    877.638214                 14.0                           1.0  735.333333            0.925785               18.0   38.0
238    865.826744                 15.0                           2.0  741.333333            0.900285               12.0   92.0
